"","vec"
"361",34197.7075596739
"362",55690.9218530909
"363",37219.6307754139
"364",44253.7603619014
"365",33083.3739912689
"366",35712.1663902516
"367",40983.1521978774
"368",54279.9811733211
"369",46293.8461887204
"370",75791.9915326595
"371",52380.8709729918
"372",44354.5356372198
"373",28716.1921697681
"374",46725.1051992046
"375",32409.8182499018
"376",45931.7919614995
"377",43337.9185911071
"378",44141.2432519385
"379",48095.5389120505
"380",37225.4823487785
"381",40034.9921538245
"382",36543.74426298
"383",48080.2259884933
"384",34456.7230557847
"385",41048.5291914641
"386",42912.1949737974
"387",37621.9615673047
"388",38152.0633707038
"389",44838.1404873236
"390",33143.6152034336
"391",42880.9840954824
"392",38804.1521278085
"393",36671.7882087753
"394",42328.7152369152
"395",44159.1001380354
"396",35996.1067096575
"397",35962.1279766176
"398",40722.1274279683
"399",43112.7802471457
"400",55115.2608336395
"401",46800.541029575
"402",43450.3606179955
"403",51467.7898245097
"404",31730.1287535655
"405",39987.7569077409
"406",41530.9356813354
"407",37746.4463227318
"408",27800.7425864458
"409",35922.6487403864
"410",54445.2792519823
"411",30835.5556626381
"412",54441.9837300484
"413",38353.5729305198
"414",42082.7257353468
"415",74819.5146521587
"416",37410.3194072592
"417",50807.9092239422
"418",49812.2114167856
"419",45898.3529867959
"420",39115.6238690946
"421",35390.3843067808
"422",44663.3952743312
"423",40601.2866204775
"424",38617.5757870173
"425",33495.6466992967
"426",31025.6158926339
"427",47817.727633727
"428",36642.9681275777
"429",42435.5288515885
"430",40002.2341356657
"431",38596.5004890518
"432",30354.424533572
"433",41216.4866648933
"434",53868.4394153817
"435",35040.5362468753
"436",53048.6115116301
"437",47766.2730827003
"438",34320.3389747674
"439",38996.0413941154
"440",54713.1376843585
"441",53165.2048112292
"442",33511.2167366333
"443",42633.6508949205
"444",46568.7418277456
"445",37424.1123057413
"446",49354.5113630976
"447",42534.9590868238
"448",37434.4026227525
"449",50190.6567809979
"450",45934.0705125005
"451",53846.8030769643
"452",36293.903659282
"453",33896.4953019173
"454",48662.9513128944
"455",42832.2661473574
"456",53749.7786119891
"457",34210.9919468533
"458",57041.6498396042
"459",34675.1603411165
"460",49028.6599611654
"461",46023.0930820199
"462",53553.051571878
"463",43261.1165906549
"464",36369.2234962126
"465",43895.8816192735
"466",44760.484950823
"467",39522.5926190711
"468",43793.979912921
"469",30681.8529173796
"470",60377.1697802211
"471",44614.0037009411
"472",43569.6254898819
"473",45444.4828352864
"474",34488.5058464884
"475",58126.529508926
"476",41811.082433022
"477",48029.6326911722
"478",39461.6521245531
"479",43714.6836279559
"480",36886.6145751675
"481",48028.1047930208
"482",35488.5929496421
"483",36364.358974198
"484",26853.0426776926
"485",63252.0641619374
"486",50926.2765416132
"487",39922.1626372013
"488",56531.4052145799
"489",40338.4659792106
"490",38308.7625570974
"491",37410.1507894276
"492",31525.9993120156
"493",46008.3624032813
"494",37879.9362097817
"495",43725.3103292275
"496",34232.3614434741
"497",32442.8989196524
"498",41397.0991190504
"499",44828.3845389557
"500",44826.6481570892
"501",47805.4700793824
"502",38059.6713821433
"503",35360.281821366
"504",41035.1860670042
"505",59481.6137949975
"506",56019.7884035668
"507",43461.0964141954
"508",48474.0826154162
"509",45508.7484722893
"510",32024.0506589458
"511",32841.5453436457
"512",44830.8085394459
"513",38678.9700947245
"514",39855.021380758
"515",45974.4501286417
"516",40854.1687974538
"517",43574.6802446146
"518",45289.8834682966
"519",41981.8905723397
"520",57424.1704277325
"521",31858.3876644862
"522",41306.2898985763
"523",45218.8263109894
"524",39141.0717149772
"525",59171.9064034298
"526",54450.1057820747
"527",33660.0183248927
"528",34399.1801053038
"529",47936.397550607
"530",41421.8408644287
"531",39482.9178382061
"532",38997.4431719825
"533",49686.2902303694
